Symbol,Date,Open,High,Low,Close,Volume,Premarket High,Morning High,Outstanding Shares,Market Cap,GAP%
DFFN,2017-07-20,2.51,3.04,2.14,2.14,6085108,2.69,3.035,10350000,25978500,29.38
SRPT,2017-07-20,41.22,43.69,39.56,40.93,19907876,41.14,42.75,54960000,2265451200,20.95
TOPS,2017-07-24,0.32,0.66,0.3,0.45,48676042,0.35,0.66,15880000,5081600,23.08
IBIO,2017-07-25,0.34,0.42,0.32,0.35,3307303,0.4375,0.42,89120000,30086912,20.53
DCIX,2017-07-25,0.8,0.83,0.45,0.46,27062154,0.85,0.83,4360000,3500208,57.57
IFON,2017-07-26,0.67,0.84,0.56,0.61,11830526,0.7398,0.84,14390000,9641300,35.74
TTPH,2017-07-26,8.65,8.75,7.41,7.88,14409412,9.9,8.75,40010000,346086500,25.36
ARGS,2017-07-26,0.41,0.47,0.28,0.31,30699577,0.44,0.47,41350000,16965905,38.99
CAPR,2017-07-27,1.47,1.64,1.2,1.3,20525745,1.76,1.64,22600000,33222000,45.54
SHOR,2017-07-27,7.45,7.5,7.45,7.5,41595557,7.5,7.5,68280000,508686000,27.35
JAGX,2017-07-28,0.87,0.99,0.67,0.71,8819583,0.9,0.99,17380000,15077150,31.44
CDI,2017-07-31,8.2,8.26,8.15,8.25,2120476,8.25,8.25,18690000,153258000,32.26
CBMX,2017-08-01,7.2,7.35,6.71,7.05,1320576,7.6,7.35,2910000,20952000,45.45
HUSA,2017-08-01,0.69,0.76,0.57,0.61,10157317,0.72,0.76,51280000,35383200,38
LL,2017-08-01,30.2,33.75,30.07,33.59,12626495,30.5,32.96,28380000,857076000,22.22
CENTA,2017-08-03,38.17,38.17,34.01,34.79,592372,38.17,38.17,37730000,1440154100,25.23
MICT,2017-08-03,1.05,1.35,0.98,0.99,6115042,1.19,1.35,6990000,7339500,22.09
YELP,2017-08-04,38.07,40.46,37.85,40.05,16906384,38.69,40.46,80580000,3067680600,21.36
WAC,2017-08-07,0.55,0.57,0.42,0.43,685990,0.52,0.57,36540000,20097000,37.19
EROS,2017-08-07,10,10.7,9.28,9.35,3282111,14,10.7,41310000,413100000,21.95
BSTG,2017-08-07,0.62,0.65,0.53,0.6,7768450,0.6414,0.65,37120000,22903040,34.13
MYOK,2017-08-07,23.5,32.3,23.5,31.45,8757035,24.9,32,31460000,739310000,37.03
NXTM,2017-08-07,29.64,29.93,29.42,29.67,25257155,29.7,29.93,65739999,1948533570,28.09
CLRB,2017-08-08,1.95,2.06,1.67,1.76,5940552,2.29,2.06,13920000,27144000,23.42
FGEN,2017-08-08,50.4,51.7,48.05,49.5,9380769,57.45,51.45,69940000,3524976000,50.9
